id,name,color
1,程序设计,1
2,抽样调查,1
3,计算机基础,2
4,创业基础,3
5,统计调查与实践,1
6,职业生涯发展,3
7,外语二,4
8,外语一,4
9,大物,2
10,物理实验,3
11,道德、法律与心理教育,3
12,多变量数据分析,1
13,多元统计分析,1
14,概率论,2
15,概率思想和方法,1
16,高等代数(二),1
17,高等代数(一),2
18,计量经济学,1
19,统计分析与建模,1
20,马克思主义,3
21,时间序列分析,1
22,实验设计,1
23,数理统计,1
24,数学分析(二),2
25,数学分析(三),2
26,数学分析(一),2
27,统计分析报告撰写,1
28,统计建模,1
29,心理健康教育,3
30,统计推断应用,1
31,统计学,2
32,应用随机过程,1
33,中国化马克思主义概论,3
34,中国近现代史纲要,3
35,专业论文,4
36,专业实习,1
