t,C,pos_err,neg_err
12,0.16,0.03,0.01
24,0.11,0.02,0.02
36,0.08,0.01,0.03
48,0.06,0.02,0.02
60,0.07,0.03,0.03
72,0.06,0.01,0.01
84,0.03,0.02,0.02
96,0.01,0.02,0.02
